iter	Logloss
0	0.6508909741
1	0.620083987
2	0.5944366222
3	0.5697079564
4	0.5491146641
5	0.5362761734
6	0.5173993024
7	0.5015466244
8	0.4882143405
9	0.4744573635
10	0.4648605421
11	0.4550616273
12	0.4474049249
13	0.4399234131
14	0.4342640826
15	0.4300296879
16	0.4268711419
17	0.4226333967
18	0.4183692515
19	0.4145321144
20	0.4122789559
21	0.4086087305
22	0.4076643903
23	0.405687365
24	0.4035349027
25	0.4023077839
26	0.4010704369
27	0.4001413273
28	0.3976514258
29	0.3970210735
30	0.3959215363
31	0.395172287
32	0.3948314916
33	0.3940049178
34	0.3934770486
35	0.3930468962
36	0.3910770119
37	0.3901845066
38	0.3891743099
39	0.3879588356
40	0.3865491109
41	0.3858897514
42	0.3854208927
43	0.3850139242
44	0.3838116125
45	0.3832885463
46	0.3828515229
47	0.3811683948
48	0.3806588777
49	0.3796879634
50	0.3793252888
51	0.3786316293
52	0.3784879986
53	0.3780465002
54	0.3775781006
55	0.3767034648
56	0.3766089253
57	0.37632423
58	0.3752502409
59	0.374190223
60	0.3730800805
61	0.3724314523
62	0.3715628599
63	0.3708465783
64	0.3705606669
65	0.370245463
66	0.3696893643
67	0.3692013053
68	0.3687917791
69	0.3684788058
70	0.3680932521
71	0.3678811471
72	0.3677359936
73	0.3673614555
74	0.3670644033
75	0.366667724
76	0.3657213706
77	0.3652101175
78	0.3644814397
79	0.3641116814
80	0.3640208001
81	0.3633210439
82	0.3629941036
83	0.3625204865
84	0.3621637932
85	0.3620741729
86	0.3614401105
87	0.361359984
88	0.3607270956
89	0.3594939029
90	0.358779689
91	0.3586949647
92	0.3581096696
93	0.3569950647
94	0.3565764405
95	0.3562191608
96	0.3556380767
97	0.3548370342
98	0.3543742412
99	0.3539025648
100	0.3537705743
101	0.3536426616
102	0.3530527415
103	0.352324888
104	0.3519319509
105	0.3514353445
106	0.3509727014
107	0.3507765131
108	0.3506473012
109	0.3505486218
110	0.3500268628
111	0.3496853902
112	0.3491517847
113	0.3488196247
114	0.3486360237
115	0.3478472999
116	0.3474537995
117	0.3473788782
118	0.3473117059
119	0.3468295259
120	0.3460270221
121	0.3456109887
122	0.3450416966
123	0.3446145751
124	0.3441559724
125	0.3435741448
126	0.3432874669
127	0.3428372774
